date;Autres;Centres de santé;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Psychologues;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ accidents du travail;dont IJ acidents du travail;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont médicaments remboursés de ville;dont médicaments remboursés à 100%;dont médicaments remboursés à 15%;dont médicaments remboursés à 30%;dont médicaments remboursés à 65%;dont rétrocession hospitalière
2017-08-01;3026102.1995689995;71177948.14646299;17880100.188;244470239.644154;499071437.89776886;885070356.98;474536886.70272;287938211.813;250666987.051;464968814.09;1671113361.483265;58839545.08855;5973375.6313000005;;2174967.23975;16478389.494;21973159.602113;865095581.8709619;6160461892.826164;320006427.70355;;253479541.19;631590815.79;-39630047.938635;;1048901831.3;5649435.0729;38750714.089;389765072.04;227676356.92
2017-09-01;2087858.378002;67323204.47908299;19962775.903;234713489.00451;488789309.105923;875715917.23;473817141.418;282786626.444;248722167.15999997;502676618.05;1670618671.7222;50904749.98902;5908555.0474;;2130556.39213;17061518.692;20727254.382705998;840942097.965373;6122126403.932946;317237892.56960005;;251308643.9;624407273.33;-39523226.9342;;1048362632.4;5879754.8654;39053704.821;394265347.71;222580458.86
2017-10-01;2734650.8372380002;68946602.8434;18176517.486;240911602.07978994;494927290.5632071;864786850.89;472889196.702;285492509.06100005;243470955.665;482443602.05;1662165865.4088533;55202359.943129994;6106619.173099999;;2242414.35124;18076253.363;21398972.08549;861096099.0617961;6123603658.570605;322535297.00636005;;247205023.21;617581827.68;-40834387.850746;;1046143929.5;5581337.1263;38070909.85329911;387536781.75;225667295.03
2017-11-01;3863830.1802470004;69239476.8272;18642463.541;235999944.62984;490574817.56773597;877999332.6200001;476466220.41099995;276652481.95100003;245495757.162;459648486.13;1633501709.902444;50268200.62893999;5841399.4384;;2097890.52093;19115356.376;20759318.367201;851309930.543606;6056143885.492816;318667268.69527;;251327836.36;626671496.26;-39029344.6285559;;1036654202.0;5616889.309;37530801.082;383027249.61;209701912.53
2017-12-01;769267.1420160001;71064508.69084999;23113307.975;245392816.492558;518694632.5368401;874961566.09;479456115.816;290357122.24899995;252790787.721;475676796.47;1680791616.7829878;59291774.61336;6381219.900900001;;2262506.26204;19013070.448;21982270.181973003;892391413.1477611;6251918811.421788;337528018.90150005;;250598654.54;624362911.55;-44759001.4429122;;1066221619.0;5838094.2379;38560708.428;391351364.66;223578831.9
2018-01-01;2027298.46929;72144267.980707;20421116.557;232557358.62067002;775458214.3090299;878548772.8;480226474.852;275313464.6599309;250898745.85000002;513935736.8;1825345376.7163;48105616.6682323;6579725.2596;;2282432.93265;17487626.148;20765872.604396;886844586.2393379;6625400726.020514;316458038.55337;;255182171.76;623366601.04;99210960.93089998;;1072558824.9;5950586.6688;38131780.98660003;382157663.32;227335559.91
2018-02-01;3638598.7739419993;68170073.80684671;20786395.985;237301943.47161;436316417.886666;886957206.71;479316535.1330001;282608417.76100004;238894462.21199998;471679107.33;1665455753.4304717;55327907.49362;6820477.725900001;;2207703.27733;17978848.932;21319767.109098;852677951.2903143;6070336757.773439;322879189.44464;;260084311.46;626872895.25;-46374240.064728;;1067355851.3;5982346.8342;38504958.091;383169623.08;216817214.19
2018-03-01;4275626.158048;68606531.43181668;20974028.564;229179977.87993;445244466.7896501;912108989.45;481139535.186;276451517.509;245282804.47800002;492618591.74;1671343666.8682299;47729968.78813001;6618316.4744;;2247214.19569;18480312.332;21266174.925798;835884335.7170563;6099251276.447538;319799217.95979005;;266427885.73;645681103.72;-47287404.421501696;;1073556196.2;5803097.7286;37665566.76113166;390812949.0;210793261.6
2018-04-01;22849547.857631;74203695.92634001;20090617.808;245919600.84735;610151383.5311399;864624379.7500001;483488354.722;286938365.4119571;244195548.516;473034387.49;1652745628.9935107;58208109.00675;7379386.1456;;2437069.3437300003;18115635.096;22363659.871665;875517762.9484018;6289378268.136374;327115134.87029994;;250794647.51;613829732.24;-44257196.3973891;;1079787198.9;5431467.2489;39361025.192;380169636.83;192253497.22
2018-05-01;15952546.202699002;69375124.86213;17865169.449;225798609.12708998;443225269.5554321;889629988.36;484844430.48788005;277969580.6308599;244915214.493;485820761.88;1682546617.1366904;50100865.264268994;7063286.5147;;2362703.58335;18579324.283;22363924.207230996;854069596.641988;6114121136.155;321638123.47568;;262918734.56;626711253.8;-42219896.133009896;;1114366253.2;5327704.6797;38942173.6;377524182.46;188606199.33
