date;Autres;Cures thermales;Dentistes;Généralistes;Indemnités journalières (IJ);Infirmières;Kinésithérapeutes;Laboratoires;Liste des produits et prestations (LPP);Médicaments;Orthophonistes;Orthoptistes;Pédicures;Remboursement de soins à l'étranger;Sages-femmes;Spécialistes;Total;Transports;dont IJ maladie;dont autres médicaments (franchises, Rosp, gardes pharmacies …);dont rétrocession hospitalière
2020-02-01;5353418.807647;19563437.214;272428452.58405;463707156.6084;1025685347.8829999;556142482.76532;317065497.162;269395217.39800006;555947645.5;1846899750.3498;58077726.103819996;9818802.0079;3006494.24688;20025361.258;27041305.841397;956914305.978994;6837808793.322988;339490766.43185;726195302.8429999;-41187208.9602;167195975.91
2020-03-01;2995445.6834889995;5103099.1207;145204013.24589399;398165132.40101;1856585659.1580002;552984608.765;161788933.00544;192085721.58210003;487351127.56;1913335429.0835998;27693995.354078;4580712.11633;1593699.47716;19269953.934;21843665.000519;628782738.361087;6719140643.684728;243094896.30671996;1559814168.2480001;-45442159.3164;179918289.1
2020-04-01;6945553.5265988;1703.9590629;35142114.92335506;343279407.2557799;1777311530.9710002;550514658.91014;59374544.09355;192561043.1884;450357518.28;1654931345.9857;12822743.380591001;548100.733882;173357.35094499998;18598191.124;20788339.786159;419603970.28427994;5758351145.466957;179421059.78451;1497310800.851;-35664916.554299995;166433793.64
2020-05-01;4294782.985993;0.0;361030074.973045;469855574.1678999;1211070869.237;578682761.5179999;270946733.62935;289457004.172;496491164.77;1745659478.9628;42983052.35980001;7716867.495999999;4030150.8667200003;19010805.49;26571446.854785;953412296.7434059;6816657082.044253;256277801.19500998;925933286.827;-17673019.797199998;164808936.96
2020-06-01;3309038.8486510003;331782.15041;328177189.57089406;671425694.7937801;1042205243.852;582118105.5150039;322390078.93914;341046888.638;539426854.65;1833842932.4563;58916759.751789995;10724081.980700001;3189404.6343;19268947.173;29733212.896187;1057455492.263936;7339754936.367212;358524910.10206;762698877.2919999;-19358554.923699997;178481280.08
2020-07-01;3683809.762368;8875756.4233;302967707.78502095;482425474.67791;1022767596.054;590763910.9332001;333657054.82298;401368361.20500004;582456286.76;1874896305.0430002;66611609.68344999;11190551.0722;2497640.36039;18718645.245;29207111.959026;1066922317.8516251;7277297637.484588;361942756.91251;721593524.124;-28864465.117000006;186686467.26
2020-08-01;1833764.7542710002;16004683.547;312914694.14619803;467845114.18389195;1055448028.1689999;596446899.0372;338082331.4464;509251953.611;566178653.12;1891632328.1165;74374265.7905;11656072.252600001;3611368.21984;18573012.099;28598670.268559;1034535158.2266239;7377586332.341771;347584576.6238;751744688.509;-41505256.4835;189876476.3
2020-09-01;4534729.852219999;12798569.156;278431356.29697096;639742213.4009999;1126412247.4680002;601227716.339;324633703.6596001;542759749.38;565424031.69;1888391734.4441001;60836885.12168;10926127.6631;3397431.6602200004;18986850.553;28708662.143264;1003001465.2340009;7553811382.073393;345006555.21184003;806530620.418;-43220155.99590001;197271439.94
2020-10-01;4851612.886263;12144958.195;261354786.03656003;446800706.15209997;1147655522.8980002;614281313.3624;319462476.1516;644965247.307;575984552.1;1936471718.5223;57293103.229669996;10555317.5547;2683356.92817;19465919.695;28417146.082912996;962914966.3821671;7476434047.547411;336207905.05498004;836167248.288;-30430339.447700005;190698216.67
2020-11-01;3448653.0656390004;464941.31158;301875401.375266;630726143.12284;1114353389.482;617928434.6151999;340149531.84742004;617728001.9629999;557104893.81;1926059951.8709998;64099707.129269995;11395691.8997;3533811.29835;19192443.071;30800262.638540003;981197423.698343;7657817965.584722;336052991.87899995;820008061.872;-36194843.339;194253627.91
2020-12-01;7484339.5380069995;4314.2997046;288432028.22694993;633207666.8282001;1094855662.9359999;621542384.1630001;333863414.891;587216950.416;590255488.37;1983098632.0479999;62885618.03859;11802055.9482;3506846.94184;17426063.346;29802389.145459;989206271.481357;7700430414.031917;337733387.917;777244144.156;-40739803.522;193772705.97
2021-01-01;316579959.615534;144638.7238;297322008.087215;882424793.2572;1092686977.5609999;627586650.39226;332732998.0628;702732054.5229998;547989227.01;2011853119.8224998;65735554.7209;11666079.2669;2987175.2586;19849243.567;30358608.084833004;1088489490.53896;8529294833.043795;356626284.17204;781102493.3809999;24374268.4045;192350014.75
2021-02-01;36561855.257621;3990.3206873;292198903.960007;444938005.3094;1108752810.48;628601644.45966;325910451.67318004;596277222.7179999;572043579.71;1922835083.4286;63896774.40952;11310069.0055;3400609.9225399997;20683305.682;30325973.571474;977377865.3490101;7487907750.511324;349375574.62346005;791233332.73;-38329424.1844;189051301.84
2021-03-01;88893329.60517499;2615.3706616;291520010.102772;481409780.17930007;1153258264.5449998;642445706.802;329723480.363;766550141.7839999;571901015.11;2055607565.2432003;62286128.04020999;11609092.2808;3415072.90899;21110793.556;31362705.361388;1004182718.9921199;8002082311.785603;380228484.63609993;841332538.355;-41224513.62279999;190959705.89
2021-04-01;101311056.71891901;578.24795688;280559596.12425107;461669087.56818;1177601236.588;645721278.9029999;334237992.1032001;582946470.1977;593808565.01;2055696883.24852;61569955.05160999;11411676.134599999;2957577.94214;20810837.517;31145927.457054004;975579235.78186;7818163955.75241;372625514.66945;866502154.2179999;-41147494.46948001;196885573.98
2021-05-01;110035025.775958;4483553.4011;292487018.12900203;448231037.3437601;1139463523.736;629067976.3579999;325736359.38845;575741239.2893;593917777.9;2013057440.5210998;60105611.87815;11690292.9093;3426673.34535;21826016.776;30404301.264485996;984440047.6075;7723329868.596117;371257916.88493;827014741.006;-40488214.4949;196701767.01
2021-06-01;121665411.283775;14086750.651;300034529.519666;630530818.6789998;1094834180.2870002;616544570.16818;328957485.66;577298545.427;595614857.27;2024275143.3478997;62336595.78822;11920086.245;3563744.1119199996;20804353.032;30705797.12013;1013370305.1715801;7942629707.473694;382749078.47204995;777039687.477;-42110797.053100005;196230655.24
2021-07-01;114109283.126429;15687597.02;284170494.020675;456955844.80670995;1154242454.7940001;624432972.10546;327177473.0154;512718122.6143;595013350.5;2139384337.8116;60153086.861949995;11556270.7347;3305571.20268;18389533.72;30932799.801527005;988192437.1904999;7824688860.164008;379197835.17297;826780888.244;-41976123.1284;193648788.51
2021-08-01;85604844.235384;18869334.396;280092845.537203;460743377.9644901;1141029587.03;640379791.878;327249298.883;534486084.577;540524674.99;2282472576.6749997;62519561.02663;12444224.9756;3761815.9138100003;17637308.153;30795896.481536005;998161451.2505;7934860032.210254;380594551.71276;832223042.79;-42888391.791;188559490.19
2021-09-01;65686441.914367005;18435452.625;284213990.981117;622330769.6547999;1162986940.214;626605366.425;331053448.29971004;418898107.33398;612087777.14;2272562278.524;59900357.48973;11647988.6248;3745013.55964;19152766.963;31717282.521886;998443157.69809;8037831969.326637;380956012.43226004;840392411.2739999;-41499380.166999996;191691744.37
2021-10-01;40227931.222434;21532215.959;289687781.052598;467902065.3134;1159611114.705;612900567.709;334384057.26987004;391369152.51186997;592238102.92;2159612532.262;62932592.74782;11922544.1291;3591913.54652;19627974.824;32186544.880566996;1010665400.4563402;7710580994.270439;385729324.27461;828411271.995;-36081710.925000004;188386252.53
2021-11-01;51108887.883728996;21151622.455;285650270.623601;642492238.5363;1167859588.855;616259110.8470001;320191911.14900005;451329276.55200005;599593374.16;2233608518.102;53158191.68671999;11173157.9377;3950176.40081;20450463.138;31620569.023865;999755098.12799;8010794805.61109;383731331.4245701;835359095.3149999;-29978266.771000005;195245762.37
2021-12-01;118307032.144676;4079468.3452;267572546.357204;448626969.88934004;1273569517.753;653626876.9629998;312657889.39100003;644698994.5516999;594098105.71;2378172735.5389996;50404577.934957005;10641918.5397;3720846.12469;27605583.016;30309733.763179;957855962.3634098;8259213981.504813;371265429.0754;944366561.773;-38088830.163;187806591.43
